category,illusion_type,model,n,accuracy,p_pred_correct,p_pred_illusory,p_pred_other,mean_prob_correct,mean_prob_illusory,mean_prob_other,control_argmax_accuracy
color,simultaneous_contrast,vit_l_16,480,0.8,0.8,0.2,0.0,0.7586761880784386,0.23939248893638712,0.0019313229851746542,0.6854166666666667
color,whites_illusion,clip_vit_b32,480,0.0,0.0,0.9354166666666667,0.06458333333333334,0.0197131679055577,0.7537919616827525,0.2264948704116892,0.0
color,whites_illusion,convnext_base,480,1.0,1.0,0.0,0.0,0.9984967381081248,4.370763192752681e-05,0.0014595542599479155,0.0
color,whites_illusion,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
color,whites_illusion,llava_1.5,480,0.16458333333333333,0.16458333333333333,0.32916666666666666,0.50625,0.16458333333333333,0.32916666666666666,0.50625,0.2125
color,whites_illusion,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
color,whites_illusion,resnet50,480,1.0,1.0,0.0,0.0,0.9901633525264713,0.005002874733417154,0.0048337727401124,0.0
color,whites_illusion,vit_b_16,480,0.75,0.75,0.25,0.0,0.7463534228367039,0.2536452186021815,1.3585611138642786e-06,0.0
color,whites_illusion,vit_l_16,480,0.9916666666666667,0.9916666666666667,0.0,0.008333333333333333,0.9668689374088156,0.0001177785424992028,0.033013284048685185,0.0
geometric,ebbinghaus,clip_vit_b32,480,1.0,1.0,0.0,0.0,0.4900268536640927,0.28350536419543654,0.22646778214047084,0.8208333333333333
geometric,ebbinghaus,convnext_base,480,0.28541666666666665,0.28541666666666665,0.7145833333333333,0.0,0.37559389117208675,0.6188958385900861,0.005510270237827516,0.9833333333333333
geometric,ebbinghaus,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
geometric,ebbinghaus,llava_1.5,480,0.0,0.0,0.5666666666666667,0.43333333333333335,0.0,0.5666666666666667,0.43333333333333335,0.0
geometric,ebbinghaus,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
