category,resnet50,convnext_base,vit_b_16,vit_l_16,clip_vit_b32,dinov2_vit_b14,llava_1.5,llava_1.5_dpo
geometric,0.8683333333333333,0.8373507462686567,0.8250691244239631,0.9238852913968548,0.12,0.12,0.12,0.88
color,0.0799999999999999,0.0799999999999999,0.0799999999999999,0.2714893617021277,0.0799999999999999,0.0799999999999999,0.0799999999999999,0.92
angle,0.14,0.1413440860215054,0.1441666666666666,0.14,0.3556250000000001,0.14,0.14,0.8622675736961452
motion,,0.3,0.3,0.3,0.7,0.3,0.3,0.9116959064327484
impossible,,,,,0.4755057471264368,0.0869999999999999,0.94,0.96516091954023
